,OWNER,NFT,NAME,BATCH,ACTIVE,REP
57,0:ca608275f628087e59dd1e2205c4004444f8eeff52052a8b3352ad9f3da9ce16,EQClKyTeX465AqK9QzfkJJLdkF4hYs52GHvzjQI0n_IrZG0T,TONNEL Relayer #553,Bronze,Yes,10.0
58,0:cca9a94c7ccff54a2b55dc6c991822a523c6cd61195790da84a59d52abe7265e,EQBs5O6JQy6W9aHt01ipmrHmPG5yBYFBlNjyZKE5J0YzCKBG,TONNEL Relayer #395,Bronze,Yes,10.0
59,0:fe13abd76946aefb2590d4be1b3be929c655aa8280e6739052dd076e789a99b9,EQApptPXCbBF0OayK31IW0bPkkbU6nDc5CgPXNAP4EzsfRkDEQAxupFhQWTJaK6jMxQ-pTW0LCyqCAJlL_l-VomZm5TP97bJ,TONNEL Relayer #573TONNEL Relayer #663,BronzeBronze,YesYes,10.0
60,0:54949a1ad25d2b2632cdf70f1d83232086b994aa5b4917f455ba7f9f66e8213d,EQBf3nQBNrCyySefWJoD2hcpO0VtMxouFgzv0xXxh1Sh_zvvEQCm74B9tdMCFC6PaPevXpfvKJaOsiOmX0Vh3Z15jc0w3ogB,TONNEL Relayer #172TONNEL Relayer #366,BronzeBronze,YesYes,10.0
61,0:25d3e0db77696e2c403aac45050fc931a4d14b4b02a02704f0d7f1291b20aa27,EQAbq_PdyUNq6ewO2xYRR17ShGoVwxfh7ArI_wJSFJ8WTchBEQBOERvuegh0RPudfJ9TG4dGIf4K0k16Zb8MJhtQc7Fmrjm9,TONNEL Relayer #576TONNEL Relayer #633,BronzeBronze,YesYes,10.0
62,0:4288893333643de1f1625a8fd0a1508e738c14bffbf5107334d4977d047dda85,EQALdjld1pHW-HzCcjSlysjcj_mFH8-ZljnLqvSnrKzA5qx1EQBpGACFS9CDBZ8Lx-Y9Pj2DRibRkxb3hDKKp5kWPnIFGcGD,TONNEL Relayer #62TONNEL Relayer #114,BronzeBronze,YesYes,10.0
63,0:03a3e401f74cee93a7ad6c2460e5f2747b5c197821b96ab2b98ed5ab2b88fc5f,EQBCtbxsjNc9Pca7EfJsToSVxSbI_wJGb_zcmTVO6BG_FiZQEQDrcVGZ5zbjp_sy6-FCNKjKOnd1vw92yYyYf7W09PY_vzKF,TONNEL Relayer #427TONNEL Relayer #605,BronzeBronze,YesYes,10.0
64,0:d68b021c61fa99760a9373e6085dbcb7373471decd121db23a1cf7743e81025d,EQA1glVPEJOoaPpe5bU1v3QsWY_tS0Sy4oS_pS38BJwvY3EZEQArBnf7k-bS8lCYD1keZqH7h2hRpQDCfx8m8-BNCIGOTNOE,TONNEL Relayer #652TONNEL Relayer #653,BronzeBronze,YesYes,10.0
65,0:5f0ece66dee8b2925d52904b5cb140fda4d1ec26d2ff3e08f8452b36c41406de,EQBRjXTtWFoLKNmp4GQHDuBosjchodfhCoX78CVRNEcUjdII,TONNEL Relayer #73,Bronze,Yes,7.5
66,0:a019d2faa0e7774cde0242f574821d1a97a3a5ae290a5fc3d014ace87dcee832,EQCX0XXMvXepKwwoTc2X8hrupeafdDnryf-_nVgDPbouown1,TONNEL Relayer #343,Bronze,Yes,7.5
67,0:b69a147d20245dcbcd6bbad7c988692a1f5f4ff661f31b65bee421fd65d8e5bf,EQAiWdvGQIVF2GFrE-3HT1Plfq8FNVI0yLufAmDktc_d9Nwz,TONNEL Relayer #60,Bronze,Yes,7.4
68,0:ac50839c471d44ce305a142ab0c94aa635d06488ea2371c58b61a4908e743bbd,EQCy1jr1npW4iJOSDZ0wyzCDF2dIRA0wu75C81FrcUThpWxA,TONNEL Relayer #148,Bronze,Yes,6.4
69,0:95444edff07d12a85360c5c63a7beea147ee240743519757c2df12770a6ad49f,EQBDop8A-wiejzJt1-b5turViy0mu5UqRInlJbbOXI_w3Ury,TONNEL Relayer #307,Bronze,Yes,6.0
70,0:c663ae51830f9c76d350c40f31420e45f4eb1902b680227e7857cc89e907c26a,EQCo2zWCHgEC1r0H4HTJm2fWDckSh73hLyCaHHcUkw8Y8dPQ,TONNEL Relayer #614,Bronze,Yes,5.0
71,0:e15d92323605de3c567993faf5e9069c5f40f2210ecf68d6a60fca0d5c248f8f,EQBUiPPBay4dPHrlL9p4Nub0Eh2-e8z9TWyV7Ac9l2XjWQJs,TONNEL Relayer #597,Bronze,Yes,5.0
72,0:ae9362709533c31ffbe2f5c3624b8db7716ef5b98a26b33cf2e22a942eaca65c,EQDmmwxR6f3pIgOcq6AxcpkkpyBi1S_URiHyJOZyzUGLip6z,TONNEL Relayer #598,Bronze,Yes,5.0
73,0:fd1b211c9c4951fe7209580625cc7b1c6f2143c196e36467b8abbe48f5171ae0,EQAvbhDChGTDzbdkpcIrQouM-SozxeDwEi3trWn1MNKQOooH,TONNEL Relayer #463,Bronze,Yes,5.0
74,0:fb44f30a8140531b9732e2fdb510d46a12b7f9033425589e8fb8a01be430a02a,EQB0k6pSphN_rfwKtMGWPvi2XTwdayb42d0ZT2wDg8sqvV_r,TONNEL Relayer #626,Bronze,Yes,5.0
75,0:f5e8babeaccf59f9b1df60984dd29d51227996c198db5a8e886bb744207cab83,EQC9OvICBJrzY74uddF44iNCMyLN4i7uOrqFORLHnW5BhMab,TONNEL Relayer #365,Bronze,Yes,5.0
76,0:b089f5587ea026cbe697b2d0bea7f30c3f95daa7e72e0e4d24787ba57aace1e4,EQAYP1NsFJNTWZu3PgzIzIfqUDotmHGxeZLrhvBVn9gQFHVv,TONNEL Relayer #150,Bronze,Yes,5.0
77,0:f59a38af28db24ada77c15057c52d3400ba6b2301e5b82feab62684e71228f2e,EQDUa2RULsyGtsEqVsRLASw5jaX9L8Ld22iU60ZnRgYeWrrQ,TONNEL Relayer #58,Bronze,Yes,5.0
78,0:b20f17c96575e1dfc3c9595590b8506fe97ac0048719d2b5bc722724d28143e7,EQAptq2OcEJCpbuWEm6hSSVQS7F1gTkCEjoCkrmIAC4Sn1ID,TONNEL Relayer #595,Bronze,Yes,5.0
