,NAME,BATCH,ACTIVE,REP
231,TONNEL Relayer #231,Bronze,No,5.0
232,TONNEL Relayer #232,Bronze,No,5.0
233,TONNEL Relayer #233,Bronze,Yes,5.0
234,TONNEL Relayer #234,Bronze,No,5.0
235,TONNEL Relayer #235,Bronze,No,5.0
236,TONNEL Relayer #236,Bronze,No,5.0
237,TONNEL Relayer #237,Bronze,No,5.0
238,TONNEL Relayer #238,Bronze,No,21.493506493506498
239,TONNEL Relayer #239,Bronze,No,5.0
240,TONNEL Relayer #240,Bronze,No,6.118233618233618
241,TONNEL Relayer #241,Bronze,Yes,5.0
242,TONNEL Relayer #242,Bronze,No,41.666666666666664
243,TONNEL Relayer #243,Bronze,No,7.392857142857143
244,TONNEL Relayer #244,Bronze,No,43.6904761904762
245,TONNEL Relayer #245,Bronze,No,266.307
246,TONNEL Relayer #246,Bronze,No,5.0
247,TONNEL Relayer #247,Bronze,No,5.0
248,TONNEL Relayer #248,Bronze,No,5.0
249,TONNEL Relayer #249,Bronze,No,5.0
250,TONNEL Relayer #250,Bronze,No,6.976190476190477
251,TONNEL Relayer #251,Bronze,No,5.0
252,TONNEL Relayer #252,Bronze,No,5.0
253,TONNEL Relayer #253,Bronze,No,5.726190476190476
254,TONNEL Relayer #254,Bronze,No,5.0
255,TONNEL Relayer #255,Bronze,No,5.0
256,TONNEL Relayer #256,Bronze,No,7.857142857142854
257,TONNEL Relayer #257,Bronze,No,5.0
258,TONNEL Relayer #258,Bronze,No,21.493506493506498
259,TONNEL Relayer #259,Bronze,No,440.0
260,TONNEL Relayer #260,Bronze,No,5.0
261,TONNEL Relayer #261,Bronze,No,5.0
262,TONNEL Relayer #262,Bronze,No,266.307
263,TONNEL Relayer #263,Bronze,No,25.136904761904756
264,TONNEL Relayer #264,Bronze,No,5.0
265,TONNEL Relayer #265,Bronze,No,12.5
266,TONNEL Relayer #266,Bronze,No,5.0
267,TONNEL Relayer #267,Bronze,No,5.0
268,TONNEL Relayer #268,Bronze,No,5.0
269,TONNEL Relayer #269,Bronze,No,5.0
270,TONNEL Relayer #270,Bronze,No,6.666666666666667
271,TONNEL Relayer #271,Bronze,No,5.0
272,TONNEL Relayer #272,Bronze,No,5.0
273,TONNEL Relayer #273,Bronze,No,5.0
274,TONNEL Relayer #274,Bronze,No,7.118233618233618
275,TONNEL Relayer #275,Bronze,No,5.0
276,TONNEL Relayer #276,Bronze,No,5.0
277,TONNEL Relayer #277,Bronze,Yes,292.6190476190484
278,TONNEL Relayer #278,Bronze,No,20.555555555555568
279,TONNEL Relayer #279,Bronze,No,5.0
280,TONNEL Relayer #280,Bronze,No,5.0
281,TONNEL Relayer #281,Bronze,No,5.0
282,TONNEL Relayer #282,Bronze,No,6.118233618233618
283,TONNEL Relayer #283,Bronze,No,5.0
284,TONNEL Relayer #284,Bronze,No,6.0
285,TONNEL Relayer #285,Bronze,No,5.0
286,TONNEL Relayer #286,Bronze,No,5.0
287,TONNEL Relayer #287,Bronze,No,5.0
288,TONNEL Relayer #288,Bronze,No,44.52380952380953
289,TONNEL Relayer #289,Bronze,No,6.976190476190477
290,TONNEL Relayer #290,Bronze,No,5.0
291,TONNEL Relayer #291,Bronze,No,11.666666666666666
292,TONNEL Relayer #292,Bronze,No,5.0
293,TONNEL Relayer #293,Bronze,No,5.0
294,TONNEL Relayer #294,Bronze,No,5.0
295,TONNEL Relayer #295,Bronze,No,5.0
296,TONNEL Relayer #296,Bronze,No,5.0
297,TONNEL Relayer #297,Bronze,No,5.726190476190476
298,TONNEL Relayer #298,Bronze,No,5.0
299,TONNEL Relayer #299,Bronze,No,5.0
300,TONNEL Relayer #300,Bronze,No,6.118233618233618
301,TONNEL Relayer #301,Bronze,No,6.118233618233618
302,TONNEL Relayer #302,Bronze,No,5.0
303,TONNEL Relayer #303,Bronze,No,5.0
304,TONNEL Relayer #304,Bronze,No,23.333333333333336
305,TONNEL Relayer #305,Bronze,No,5.0
306,TONNEL Relayer #306,Bronze,No,5.0
307,TONNEL Relayer #307,Bronze,Yes,6.0
308,TONNEL Relayer #308,Bronze,No,44.52380952380953
309,TONNEL Relayer #309,Bronze,No,5.0
310,TONNEL Relayer #310,Bronze,No,6.976190476190477
311,TONNEL Relayer #311,Bronze,No,5.0
312,TONNEL Relayer #312,Bronze,No,5.0
313,TONNEL Relayer #313,Bronze,No,6.118233618233618
314,TONNEL Relayer #314,Bronze,No,5.0
315,TONNEL Relayer #315,Bronze,No,6.118233618233618
316,TONNEL Relayer #316,Bronze,No,5.0
317,TONNEL Relayer #317,Bronze,No,5.0
318,TONNEL Relayer #318,Bronze,No,5.0
319,TONNEL Relayer #319,Bronze,No,5.0
320,TONNEL Relayer #320,Bronze,No,5.0
321,TONNEL Relayer #321,Bronze,Yes,5.0
322,TONNEL Relayer #322,Bronze,No,6.118233618233618
323,TONNEL Relayer #323,Bronze,No,11.567460317460311
324,TONNEL Relayer #324,Bronze,No,5.0
325,TONNEL Relayer #325,Bronze,No,9.091269841269842
326,TONNEL Relayer #326,Bronze,No,5.0
327,TONNEL Relayer #327,Bronze,No,5.0
328,TONNEL Relayer #328,Bronze,No,5.0
329,TONNEL Relayer #329,Bronze,No,5.0
330,TONNEL Relayer #330,Bronze,No,5.0
331,TONNEL Relayer #331,Bronze,No,5.0
332,TONNEL Relayer #332,Bronze,No,5.0
333,TONNEL Relayer #333,Bronze,No,5.0
334,TONNEL Relayer #334,Bronze,No,5.0
335,TONNEL Relayer #335,Bronze,No,5.0
336,TONNEL Relayer #336,Bronze,No,6.142857142857143
337,TONNEL Relayer #337,Bronze,No,5.0
338,TONNEL Relayer #338,Bronze,No,8.53571428571429
339,TONNEL Relayer #339,Bronze,No,5.0
340,TONNEL Relayer #340,Bronze,No,9.091269841269842
341,TONNEL Relayer #341,Bronze,No,5.0
342,TONNEL Relayer #342,Bronze,No,5.0
343,TONNEL Relayer #343,Bronze,Yes,7.5
344,TONNEL Relayer #344,Bronze,No,5.0
345,TONNEL Relayer #345,Bronze,No,5.0
346,TONNEL Relayer #346,Bronze,No,5.0
347,TONNEL Relayer #347,Bronze,No,43.6904761904762
348,TONNEL Relayer #348,Bronze,No,5.0
349,TONNEL Relayer #349,Bronze,No,5.0
350,TONNEL Relayer #350,Bronze,No,5.0
351,TONNEL Relayer #351,Bronze,No,5.0
352,TONNEL Relayer #352,Bronze,No,5.0
353,TONNEL Relayer #353,Bronze,Yes,5.0
354,TONNEL Relayer #354,Bronze,No,9.761904761904754
355,TONNEL Relayer #355,Bronze,No,21.493506493506498
356,TONNEL Relayer #356,Bronze,No,5.0
357,TONNEL Relayer #357,Bronze,No,5.0
358,TONNEL Relayer #358,Bronze,No,6.142857142857143
359,TONNEL Relayer #359,Bronze,No,5.0
360,TONNEL Relayer #360,Bronze,No,5.0
361,TONNEL Relayer #361,Bronze,No,5.0
362,TONNEL Relayer #362,Bronze,No,7.285714285714292
363,TONNEL Relayer #363,Bronze,Yes,5.0
364,TONNEL Relayer #364,Bronze,No,5.0
365,TONNEL Relayer #365,Bronze,Yes,5.0
366,TONNEL Relayer #366,Bronze,Yes,5.0
367,TONNEL Relayer #367,Bronze,Yes,5.0
368,TONNEL Relayer #368,Bronze,No,5.0
369,TONNEL Relayer #369,Bronze,No,5.0
370,TONNEL Relayer #370,Bronze,No,5.0
371,TONNEL Relayer #371,Bronze,No,9.5
372,TONNEL Relayer #372,Bronze,No,6.976190476190477
373,TONNEL Relayer #373,Bronze,No,5.0
374,TONNEL Relayer #374,Bronze,No,26.994047619047613
375,TONNEL Relayer #375,Bronze,Yes,35.0
376,TONNEL Relayer #376,Bronze,No,7.8
377,TONNEL Relayer #377,Gold,Yes,1339.490079365081
378,TONNEL Relayer #378,Bronze,No,6.118233618233618
379,TONNEL Relayer #379,Bronze,No,5.0
380,TONNEL Relayer #380,Bronze,No,5.0
381,TONNEL Relayer #381,Bronze,Yes,292.08333333333326
382,TONNEL Relayer #382,Bronze,No,5.0
383,TONNEL Relayer #383,Bronze,No,21.493506493506498
384,TONNEL Relayer #384,Bronze,No,6.0
385,TONNEL Relayer #385,Bronze,No,5.0
386,TONNEL Relayer #386,Bronze,No,5.0
387,TONNEL Relayer #387,Bronze,No,5.0
388,TONNEL Relayer #388,Bronze,No,5.0
389,TONNEL Relayer #389,Bronze,No,6.8
390,TONNEL Relayer #390,Bronze,No,5.0
391,TONNEL Relayer #391,Bronze,No,5.0
392,TONNEL Relayer #392,Bronze,No,5.0
393,TONNEL Relayer #393,Bronze,No,5.0
394,TONNEL Relayer #394,Bronze,No,5.0
395,TONNEL Relayer #395,Bronze,Yes,10.0
396,TONNEL Relayer #396,Bronze,No,5.0
397,TONNEL Relayer #397,Bronze,No,43.6904761904762
398,TONNEL Relayer #398,Bronze,No,5.0
399,TONNEL Relayer #399,Bronze,No,5.0
400,TONNEL Relayer #400,Bronze,No,12.261904761904756
401,TONNEL Relayer #401,Bronze,No,5.0
402,TONNEL Relayer #402,Bronze,No,5.0
403,TONNEL Relayer #403,Bronze,No,5.0
404,TONNEL Relayer #404,Bronze,No,43.6904761904762
405,TONNEL Relayer #405,Bronze,No,5.0
406,TONNEL Relayer #406,Bronze,No,5.0
407,TONNEL Relayer #407,Bronze,No,5.0
408,TONNEL Relayer #408,Bronze,No,5.0
409,TONNEL Relayer #409,Bronze,No,5.0
410,TONNEL Relayer #410,Bronze,No,5.0
411,TONNEL Relayer #411,Bronze,No,5.0
412,TONNEL Relayer #412,Bronze,No,5.0
413,TONNEL Relayer #413,Bronze,No,5.0
414,TONNEL Relayer #414,Bronze,No,5.0
415,TONNEL Relayer #415,Bronze,No,5.0
416,TONNEL Relayer #416,Bronze,No,5.0
417,TONNEL Relayer #417,Bronze,No,5.0
418,TONNEL Relayer #418,Bronze,No,5.0
419,TONNEL Relayer #419,Bronze,No,5.0
420,TONNEL Relayer #420,Bronze,No,5.0
421,TONNEL Relayer #421,Bronze,No,7.285714285714292
422,TONNEL Relayer #422,Bronze,No,5.0
423,TONNEL Relayer #423,Bronze,No,5.0
424,TONNEL Relayer #424,Bronze,Yes,7.916666666666667
425,TONNEL Relayer #425,Bronze,No,5.0
426,TONNEL Relayer #426,Bronze,No,5.0
427,TONNEL Relayer #427,Bronze,Yes,5.0
428,TONNEL Relayer #428,Bronze,No,5.0
429,TONNEL Relayer #429,Bronze,No,5.0
430,TONNEL Relayer #430,Bronze,No,5.0
431,TONNEL Relayer #431,Bronze,No,5.0
432,TONNEL Relayer #432,Bronze,Yes,23.155555555555573
433,TONNEL Relayer #433,Bronze,No,5.0
434,TONNEL Relayer #434,Bronze,Yes,5.0
435,TONNEL Relayer #435,Bronze,No,150.42592592592595
436,TONNEL Relayer #436,Bronze,No,6.118233618233618
437,TONNEL Relayer #437,Bronze,No,5.0
438,TONNEL Relayer #438,Bronze,No,5.0
439,TONNEL Relayer #439,Bronze,No,149.5
440,TONNEL Relayer #440,Bronze,No,5.0
441,TONNEL Relayer #441,Bronze,No,5.0
442,TONNEL Relayer #442,Bronze,No,9.761904761904754
443,TONNEL Relayer #443,Bronze,No,5.0
444,TONNEL Relayer #444,Bronze,No,5.0
445,TONNEL Relayer #445,Bronze,Yes,5.0
